trial,task,variant,suspended,t_run_s,wall,type,kind,step,n_messages,request_chars,n_tool_calls,tool_names,output_chars,started_at,ttft_ms,e2e_ms,decode_ms,itl_ms_mean,itl_ms_p50,itl_ms_p95,n_output_chunks,prompt_tokens,cached_tokens,completion_tokens,server_prompt_ms,server_prompt_tokens_computed,server_decode_ms_per_token,finish_reason,retries,prefill_tokens_computed
billing-decimal__ibCFoLL,billing-decimal,full,False,0.994,1789650380.1739001,llm_call,agent,1,2,2789,1,['bash'],128,1789650379.2721548,562.6178339880425,901.6407919989433,338.4687910147477,28.20573258456231,19.04604199808091,22.49937498709187,13,964,,54,,,,tool_calls,0,964
billing-decimal__ibCFoLL,billing-decimal,full,False,4.052,1789650383.231723,llm_call,agent,2,4,3344,1,['view_file'],48,1789650380.2420878,703.6298749735579,2988.5863329982385,2283.2261250005104,456.6452250001021,210.55487499688752,1442.6166249904782,6,1151,,38,,,,tool_calls,0,1151
billing-decimal__ibCFoLL,billing-decimal,full,False,57.165,1789650436.344621,llm_call,agent,3,6,4170,1,['bash'],5205,1789650385.701772,633.1957500078715,50642.59158301866,50009.165333001874,113.14290799321691,141.8197089806199,165.94408301170915,443,1360,,1385,,,,tool_calls,1,1360
billing-decimal__ibCFoLL,billing-decimal,full,False,74.37,1789650453.5498571,llm_call,agent,4,8,5253,1,['view_file'],1835,1789650439.001899,587.9847920150496,14545.00862499117,13896.374082978582,87.9517347023961,68.12574999639764,192.51304198405705,159,1632,,533,,,,tool_calls,1,1632
billing-decimal__ibCFoLL,billing-decimal,full,False,80.664,1789650459.843833,llm_call,agent,5,10,5736,1,['bash'],1486,1789650455.989873,477.35900001134723,3853.1816249887925,3352.8368749830406,24.47326186119008,20.655624975915998,27.11583298514597,138,1749,,427,,,,tool_calls,1,1749
billing-decimal__ibCFoLL,billing-decimal,full,False,86.105,1789650465.284918,llm_call,agent,6,12,6195,1,['bash'],928,1789650462.290575,556.5496660128701,2994.15037498693,2408.717499987688,32.99613013681764,20.094582985620946,135.34104198333807,74,1852,,256,,,,tool_calls,1,1852
billing-decimal__ibCFoLL,billing-decimal,full,False,107.274,1789650486.454396,llm_call,agent,7,14,6715,1,['bash'],3816,1789650465.3861709,567.8222920105327,21067.878583999118,20481.692957982887,57.371688957935255,21.364458982134238,151.69808297650889,358,2017,,1057,,,,tool_calls,0,2017
billing-decimal__ibCFoLL,billing-decimal,full,False,136.733,1789650515.9133599,llm_call,agent,8,16,7065,1,['edit_file'],8369,1789650486.5766468,557.0990410051309,29336.231790977763,28633.598208980402,42.04639971950132,22.172832977958024,148.77754100598395,682,2078,,2677,,,,tool_calls,0,2078
billing-decimal__ibCFoLL,billing-decimal,full,False,141.785,1789650520.965308,llm_call,agent,9,18,9358,1,['view_file'],1198,1789650515.914082,445.49883299623616,5050.727707974147,4604.483499977505,47.96336979143234,21.175166009925306,152.70183299435303,97,2625,,295,,,,tool_calls,0,2625
billing-decimal__ibCFoLL,billing-decimal,full,False,143.366,1789650522.546162,llm_call,agent,10,20,10381,1,['bash'],250,1789650521.43202,586.3783750100993,1113.713541009929,508.62804101780057,25.43140205089003,18.08762500877492,81.47175001795404,21,2881,,78,,,,tool_calls,0,2881
billing-decimal__ibCFoLL,billing-decimal,full,False,146.58,1789650525.760514,llm_call,agent,11,22,11127,1,['bash'],342,1789650522.721428,475.10662500280887,3037.9277500032913,2453.7136250000913,94.37360096154197,22.93754101265222,156.82866697898135,27,3050,,97,,,,tool_calls,0,3050
billing-decimal__ibCFoLL,billing-decimal,full,False,154.593,1789650533.773428,llm_call,agent,12,24,11890,1,['edit_file'],1131,1789650526.0012522,3329.029583983356,7771.834708983079,4423.307999997633,50.264863636336734,19.105207989923656,29.645458998857066,89,3232,,652,,,,tool_calls,0,3232
billing-decimal__ibCFoLL,billing-decimal,full,False,155.756,1789650534.936286,llm_call,agent,13,26,13689,1,['bash'],138,1789650533.9818602,570.974665984977,954.0794999920763,382.69445902551524,31.891204918792937,20.861417026026174,49.12087501725182,13,3657,,60,,,,tool_calls,0,3657
billing-decimal__ibCFoLL,billing-decimal,full,False,165.61,1789650544.790189,llm_call,agent,14,28,14296,1,['bash'],1541,1789650535.181275,650.1328329904936,9608.578582992777,8958.069667016389,48.951200366209775,19.508416997268796,144.1769580123946,184,3772,,824,,,,tool_calls,0,3772
billing-decimal__ibCFoLL,billing-decimal,full,False,184.73,1789650563.9104562,llm_call,agent,15,30,15373,1,['bash'],410,1789650551.507704,497.2967919893563,12400.180791999446,11880.540333018871,371.2668854068397,37.740041996585205,155.31616701628082,33,4149,,862,,,,tool_calls,2,4149
