job,trial,task,variant,model,reward,exception,stop_reason,steps,llm_calls,prompt_tokens,cached_tokens,prefill_computed,completion_tokens,prefill_s,decode_s,tool_s,compactions,repeat_warnings,format_errors,tool_errors,agent_wall_s,suspended
nim-full-t1,billing-decimal__ibCFoLL,billing-decimal,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,25,25,112857,12672,100185,14285,20.60292920601205,210.444362709939,6.336028667166829,0,6,0,4,255.832932,False
nim-full-t1,config-deep-merge__hPDchta,config-deep-merge,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,28,28,83015,0,83015,8490,24.682167126971763,94.6274068710336,4.38714699994307,0,13,0,2,133.394258,False
nim-full-t1,csv-report-totals__b5Hjijn,csv-report-totals,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,9,9,14515,0,14515,2055,5.1248191249906085,33.34275016700849,1.238568376051262,0,0,0,1,44.528481,False
nim-full-t1,daterange-inclusive__tXSBVDW,daterange-inclusive,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,27,27,223556,71808,151748,25276,28.125631457951386,284.2020290849323,4.927311333041871,0,5,0,9,324.994066,False
nim-full-t1,inventory-oversell__kcJg96S,inventory-oversell,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,20,20,56783,0,56783,5563,16.46508866798831,90.36861370893894,2.633339916996192,0,3,0,0,118.868104,False
nim-full-t1,log-error-summary__ZTna2sK,log-error-summary,full,nvidia/nvidia/nemotron-3-super-120b-a12b,0.0,False,submitted,15,15,47443,0,47443,6093,9.347108626039699,98.94553183292737,2.448198332975153,0,4,0,2,122.207342,False
nim-full-t1,lru-cache-recency__PkcpXzf,lru-cache-recency,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,15,15,39066,0,39066,8662,12.331921373057412,123.50974091596436,3.1337620410486124,0,5,0,2,148.413923,False
nim-full-t1,pagination-pages__m6wGeYU,pagination-pages,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,8,8,38175,0,38175,4974,4.323066500015557,58.982717166945804,4.653009291971102,0,1,0,1,68.222251,False
nim-full-t1,retry-decorator__sSSNZj4,retry-decorator,full,nvidia/nvidia/nemotron-3-super-120b-a12b,0.0,False,submitted,21,21,72713,0,72713,10277,16.668559375044424,103.40720178897027,5.699178543960443,0,6,0,3,128.3114,False
nim-full-t1,schema-validator-paths__f6Vda5M,schema-validator-paths,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,26,26,121161,0,121161,16950,28.46787987506832,204.33102666700142,7.910226877022069,0,7,0,4,256.943178,False
nim-full-t1,slugify-rules__rSM2RS3,slugify-rules,full,nvidia/nvidia/nemotron-3-super-120b-a12b,1.0,False,submitted,24,24,210510,54912,155598,27348,37.238794872915605,500.9774763750611,3.791283455939265,0,4,1,2,549.49702,False
