label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,0,agent,781,564,23,0.004028045000040947,493.2746050000105,1130.6796769999892,28.95330236363882,781,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,1,agent,975,777,163,1.318320725000035,281.56604100001914,5269.690035000053,30.78832449382726,975,163,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,2,agent,1161,971,98,6.933905692000053,361.9062190000477,3318.194055000049,30.47134357731953,1161,98,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,3,agent,1283,1157,21,10.555943347000039,431.53344900008506,1023.7779390000696,29.59290834999706,1283,21,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,4,agent,1390,1279,23,12.790948946000071,486.0479069999428,1145.7279999999628,29.96846640909015,1390,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,5,agent,1503,1386,23,14.605555299000002,554.0818769999305,1203.1565059999139,29.481381727273195,1503,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,6,agent,1808,1499,23,17.886539584000047,874.2158640000071,1557.3103540000375,31.02203768181963,1808,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,7,agent,1949,1804,21,20.023937900000078,839.795922999997,1434.9041049999869,29.738631800000803,1949,21,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,8,agent,2015,1945,23,22.096881796000048,858.8896009999871,1500.0361459999567,29.126490681815913,2015,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,9,agent,2252,2011,21,25.16286371500007,1062.4840860000404,1689.164581,31.31484825000257,2252,21,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,10,agent,2318,2248,23,27.472349173999987,1132.106697999916,1762.993779999988,28.659978363639933,2318,23,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,11,agent,2533,2314,39,30.099811085000056,1292.1619300000202,2413.6889470000824,29.504035842107537,2533,39,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,12,agent,2666,2529,39,33.084564803000035,1417.0651099999532,2555.0216059999684,29.93606923684255,2666,39,,
prefix-cache-off/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,13,agent,2799,2662,39,36.20957363299999,1545.9547030000067,2675.4811209999616,29.715022684211146,2799,39,,
