label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,0,agent,781,564,23,0.003706536999970922,3672.753456999999,4324.6672050000825,29.614148227272548,781,23,,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,1,agent,975,777,163,4.51199249199999,96.40264099994056,5063.584289000005,30.658859993827214,975,163,768,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,2,agent,1161,971,98,9.92153913900006,109.28519699996286,3014.622759999952,29.94641118556684,1161,98,960,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,3,agent,1283,1157,21,13.241221876000054,91.3370670000404,659.8680529999683,28.401154950000773,1283,21,1152,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,4,agent,1390,1279,23,15.11194174700006,90.99215599997024,794.0131419999261,31.929561090909043,1390,23,1264,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,5,agent,1503,1386,23,16.574183843000014,96.22269400006189,771.1096060000955,30.65849436363392,1503,23,1376,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,6,agent,1808,1499,23,19.422119477000024,351.02248900000177,1002.4991850000333,29.595688954548844,1808,23,1488,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,7,agent,1949,1804,21,21.00465090900002,125.61482499995691,699.4088289999354,28.666823000003205,1949,21,1792,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,8,agent,2015,1945,23,22.341788048000012,79.59065299996837,721.4884470000698,29.16055322727764,2015,23,1936,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,9,agent,2252,2011,21,24.628326498999968,213.87663899997733,827.2400260000268,30.64424895000002,2252,21,2000,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,10,agent,2318,2248,23,26.076766109999994,89.29792099991118,767.9102679999232,30.82912845454964,2318,23,2240,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,11,agent,2533,2314,39,27.709148732000017,210.9055159999116,1328.164165999965,29.39224571052759,2533,39,2304,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,12,agent,2666,2529,39,29.607486440999992,158.45077200003743,1261.972071999935,29.02743563157628,2666,39,2528,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,13,agent,2799,2662,39,31.437685357999953,163.2149939999863,1268.4765069999457,29.074292868421324,2799,39,2656,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,14,agent,2932,2795,39,33.16416937600002,171.31057999995392,1377.1340490000057,31.721756473682728,2932,39,2784,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,15,agent,3065,2928,39,35.041240656000014,176.79439200003344,1371.3207419999662,31.42412518420949,3065,39,2928,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,16,agent,3198,3061,39,36.95467884900006,182.91263300000082,1289.6738549999327,29.115166500000548,3198,39,3056,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,17,agent,3331,3194,39,38.738908320000064,191.47715999997672,1284.959552000032,28.76128513158069,3331,39,3184,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,18,agent,3464,3327,39,40.59546330399996,196.57681000001048,1385.9139130000813,31.288015078949254,3464,39,3312,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,19,agent,3597,3460,39,42.50534467500006,204.653058999952,1337.5929289999249,29.80404068421194,3597,39,3456,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,20,agent,3730,3593,39,44.457961659000034,211.36966599999596,1342.1719319999283,29.743428473681746,3730,39,3584,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,21,agent,3863,3726,39,46.42835556099999,216.4114580000387,1303.3794880000187,28.593566921050463,3863,39,3712,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,22,agent,3996,3859,39,48.28277351099996,221.75443300000097,1315.9793749999835,28.78089721052615,3996,39,3856,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,23,agent,4129,3992,39,50.15514508900003,227.953184999933,1315.4821499999798,28.610406631580524,4129,39,3984,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,24,agent,4262,4125,39,51.991512715,236.87202300004628,1356.1765179999838,29.44315123684012,4262,39,4112,
prefix-cache-on/full,1,0,pilot-noguard-full-t1/billing-decimal__gX7CgKR,full,25,agent,4395,4258,39,54.05778735900003,242.03373199998168,1342.7951959999973,28.957522921054508,4395,39,4256,
