label,concurrency,worker,session_id,variant,call_index,kind,prompt_tokens,reuse_tokens,output_tokens,t_start_s,ttft_ms,e2e_ms,itl_ms_mean,server_prompt_tokens,server_output_tokens,server_cached_tokens,error
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,0,agent,795,578,23,0.005752803000177664,528.1074290001015,1119.9106800004301,26.88138949999732,795,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,1,agent,989,791,153,1.366349750000154,285.75230600017676,4260.015113000009,26.14422993420811,989,153,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,2,agent,1165,985,23,6.0072166499999184,355.21209800026554,895.888781999929,24.552741499994887,1165,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,3,agent,1524,1161,63,7.325629378000031,568.897386000117,2188.3338060001734,26.11394230645249,1524,63,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,4,agent,1621,1520,23,9.981855517999975,584.7850760001165,1170.9881880001376,26.628204681814665,1621,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,5,agent,1980,1617,62,13.218436367999857,1004.9901509996744,2597.182681999584,26.09550965574227,1980,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,6,agent,2123,1976,23,16.9903642459999,952.2941619998164,1502.3567739999635,24.98910104544517,2123,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,7,agent,2482,2119,62,19.054850945,1237.4956550002025,2841.2714780001807,26.285295360653958,2482,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,8,agent,2625,2478,23,22.547432243999992,1375.0226480001402,1928.6283179999373,25.148142272717617,2625,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,9,agent,2984,2621,62,25.755867306000255,1734.2358720002267,3353.772009000295,26.542780278685342,2984,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,10,agent,3127,2980,23,30.83901927199986,1981.3134830001218,2560.2470130002075,26.29155336363841,3127,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,11,agent,3486,3123,62,35.49529279599983,2389.5380220001243,4108.8756940002895,28.17869180327881,3486,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,12,agent,3629,3482,23,40.620680493000236,2462.8972559999056,3067.7563889998964,27.479841409103756,3629,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,13,agent,3988,3625,62,44.059219442000085,2915.9815799998796,4746.476774000257,30.002862868856983,3988,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,14,agent,4131,3984,23,49.17956797599982,3196.009036000305,3839.6226510003544,29.239545045439545,4131,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,15,agent,4490,4127,62,53.245743720000064,3720.1596309996603,5667.452523000065,31.91783932787403,4490,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,16,agent,4633,4486,23,59.72082360200011,3956.20172200006,4639.755721999791,31.056855409091938,4633,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,17,agent,4992,4629,62,64.72242801999982,4563.383968999915,6597.115283999756,33.33232200000447,4992,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,18,agent,5135,4988,23,71.74540039200019,4683.215409999775,5391.523585999948,32.181313181829616,5135,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,19,agent,5495,5131,62,77.43154155799994,5288.474035000036,7387.63434700013,34.4070697049231,5495,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,20,agent,5638,5491,23,85.20085056800008,5502.738584999861,6235.442897000212,33.29029600000798,5638,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,21,agent,5998,5634,62,91.7158994219999,6134.346697000183,8326.383314000395,35.929544311478764,5998,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,22,agent,6142,5994,23,100.51108307599998,6447.9473329997745,7218.418151000151,35.007543272740804,6142,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,23,agent,6502,6138,62,107.9108500719999,7169.119166999735,9446.079316999658,37.32171337705055,6502,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,24,agent,6646,6498,23,117.74372528999993,7502.148390000002,8323.211701000218,37.3023030909239,6646,23,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,25,agent,7006,6642,62,126.37204020499985,8264.235579999877,10642.266873000153,38.97898000000392,7006,62,,
prefix-cache-off/full,1,0,exp-full-t1/billing-decimal__9BUpQ5q,full,26,agent,7150,7002,23,137.458147671,8604.183680000006,9474.552227000004,39.54832031819354,7150,23,,
